,Date,OutsideTemp,Wind,TankTemp,InsideTemp,EnergyCirculationPump,GreenEnergy,DeltaTemp,
242, 12.03  12:30:00,5.75,9,40.11951832,19.84041984,0.030179685,0.867247505,0.13064867,30.17968525
243, 12.03  12:45:00,5.925,9,39.15950708,19.79354767,0.030423,0.847101435,-0.04687217,30.42300031
244, 12.03  13:00:00,6.1,9,41.48852482,19.7909476,0.029682088,0.823289449,-0.00260007,29.6820877
245, 12.03  13:15:00,6.25,9.5,41.27112159,19.83900563,0.028521407,0.792853864,0.04805803,28.52140728
246, 12.03  13:30:00,6.4,10,40.16063896,19.78993271,0.028269729,0.75895619,-0.04907292,28.26972862
247, 12.03  13:45:00,6.55,10.5,39.1778338,19.78832097,0.028355096,0.708583854,-0.00161174,28.35509569
248, 12.03  14:00:00,6.7,11,40.96562004,19.78631637,0.027878799,0.655613629,-0.0020046,27.87879937
249, 12.03  14:15:00,6.575,10.75,42.52963368,19.68996634,0.026753149,0.60063399,-0.09635003,26.75314906
250, 12.03  14:30:00,6.45,10.5,43.74449079,19.86632848,0.025804747,0.524972138,0.17636214,25.80474726
251, 12.03  14:45:00,6.325,10.25,44.15215557,19.68942732,0.024194687,0.456935645,-0.17690116,24.19468708
252, 12.03  15:00:00,6.2,10,44.57316919,19.68462415,0.023874018,0.389707966,-0.00480317,23.87401757
253, 12.03  15:15:00,6.25,9.75,45.01735161,19.68424039,0.022875181,0.324206993,-0.00038376,22.87518059
254, 12.03  15:30:00,6.3,9.5,45.46851112,19.68378886,0.022382761,0.251988188,-0.00045153,22.38276054
255, 12.03  15:45:00,6.35,9.25,45.90967526,19.68183769,0.022100953,0.182146586,-0.00195117,22.10095302
256, 12.03  16:00:00,6.4,9,46.34181918,19.68547773,0.021764127,0.127038124,0.00364004,21.76412663
257, 12.03  16:15:00,6.4,9,46.74810631,19.68802429,0.022093546,0,0.00254656,22.0935455
258, 12.03  16:30:00,6.4,9,47.13130353,19.69051551,0.021930229,0,0.00249122,21.93022876
259, 12.03  16:45:00,6.4,9,47.50749154,19.69122163,0.021647536,0,0.00070612,21.6475363
260, 12.03  17:00:00,6.4,9,47.87604936,19.69216781,0.021436819,0,0.00094618,21.43681861
261, 12.03  17:15:00,6.4,9,47.37921362,19.69285861,0.021305845,0,0.0006908,21.30584504
262, 12.03  17:30:00,6.4,9,46.14092044,19.69277166,0.021548238,0,-8.70E-05,21.54823824
263, 12.03  17:45:00,6.4,9,44.99034559,19.69224851,0.022085532,0,-0.00052315,22.08553189
264, 12.03  18:00:00,6.4,9,43.89651837,19.69284719,0.023000289,0,0.00059868,23.0002886
